country	year	pop	continent	lifeExp	gdpPercap	Continent_meanlifeExp	minLifeExp	meanlifeexpbyyear
Guinea-Bissau	1977	745228	Africa	37.465	764.7259628	50.5927923390684	32.5	49.2088278705277
Guinea-Bissau	1982	825987	Africa	39.327	838.1239671	50.5927923390684	32.5	51.017435577706
Guinea-Bissau	1987	927524	Africa	41.245	736.4153921	50.5927923390684	32.5	52.8247902051933
Guinea-Bissau	1992	1050938	Africa	43.266	745.5398706	50.5927923390684	32.5	53.3729182736405
Guinea-Bissau	1997	1193708	Africa	44.873	796.6644681	50.5927923390684	32.5	53.2832668246949
Guinea-Bissau	2002	1332459	Africa	45.504	575.7047176	50.5927923390684	32.5	53.3031425757613
Guinea-Bissau	2007	1472041	Africa	46.388	579.231743	50.5927923390684	32.5	54.564410575582
Somalia	1952	2526994	Africa	32.978	1135.749842	50.5927923390684	32.978	38.7997279750475
Somalia	1957	2780415	Africa	34.977	1258.147413	50.5927923390684	32.978	40.9403052180766
Somalia	1962	3080153	Africa	36.981	1369.488336	50.5927923390684	32.978	43.0992460329128
Somalia	1967	3428839	Africa	38.977	1284.73318	50.5927923390684	32.978	45.1772077062905
Somalia	1972	3840161	Africa	40.973	1254.576127	50.5927923390684	32.978	47.2122936521501
Somalia	1977	4353666	Africa	41.974	1450.992513	50.5927923390684	32.978	49.2088278705277
Somalia	1982	5828892	Africa	42.955	1176.807031	50.5927923390684	32.978	51.017435577706
Somalia	1987	6921858	Africa	44.501	1093.244963	50.5927923390684	32.978	52.8247902051933
Somalia	1992	6099799	Africa	39.658	926.9602964	50.5927923390684	32.978	53.3729182736405
Somalia	1997	6633514	Africa	43.795	930.5964284	50.5927923390684	32.978	53.2832668246949
Somalia	2002	7753310	Africa	45.936	882.0818218	50.5927923390684	32.978	53.3031425757613
Somalia	2007	9118773	Africa	48.159	926.1410683	50.5927923390684	32.978	54.564410575582
Guinea	1952	2664249	Africa	33.609	510.1964923	50.5927923390684	33.609	38.7997279750475
Guinea	1957	2876726	Africa	34.558	576.2670245	50.5927923390684	33.609	40.9403052180766
Guinea	1962	3140003	Africa	35.753	686.3736739	50.5927923390684	33.609	43.0992460329128
Guinea	1967	3451418	Africa	37.197	708.7595409	50.5927923390684	33.609	45.1772077062905
Guinea	1972	3811387	Africa	38.842	741.6662307	50.5927923390684	33.609	47.2122936521501
Guinea	1977	4227026	Africa	40.762	874.6858643	50.5927923390684	33.609	49.2088278705277
Guinea	1982	4710497	Africa	42.891	857.2503577	50.5927923390684	33.609	51.017435577706
Guinea	1987	5650262	Africa	45.552	805.5724718	50.5927923390684	33.609	52.8247902051933
Guinea	1992	6990574	Africa	48.576	794.3484384	50.5927923390684	33.609	53.3729182736405
Guinea	1997	8048834	Africa	51.455	869.4497668	50.5927923390684	33.609	53.2832668246949
Guinea	2002	8807818	Africa	53.676	945.5835837	50.5927923390684	33.609	53.3031425757613
Guinea	2007	9947814	Africa	56.007	942.6542111	50.5927923390684	33.609	54.564410575582
Mali	1952	3838168	Africa	33.685	452.3369807	50.5927923390684	33.685	38.7997279750475
Mali	1957	4241884	Africa	35.307	490.3821867	50.5927923390684	33.685	40.9403052180766
Mali	1962	4690372	Africa	36.936	496.1743428	50.5927923390684	33.685	43.0992460329128
Mali	1967	5212416	Africa	38.487	545.0098873	50.5927923390684	33.685	45.1772077062905
Mali	1972	5828158	Africa	39.977	581.3688761	50.5927923390684	33.685	47.2122936521501
Mali	1977	6491649	Africa	41.714	686.3952693	50.5927923390684	33.685	49.2088278705277
Mali	1982	6998256	Africa	43.916	618.0140641	50.5927923390684	33.685	51.017435577706
Mali	1987	7634008	Africa	46.364	684.1715576	50.5927923390684	33.685	52.8247902051933
Mali	1992	8416215	Africa	48.388	739.014375	50.5927923390684	33.685	53.3729182736405
Mali	1997	9384984	Africa	49.903	790.2579846	50.5927923390684	33.685	53.2832668246949
Mali	2002	10580176	Africa	51.818	951.4097518	50.5927923390684	33.685	53.3031425757613
Mali	2007	12031795	Africa	54.467	1042.581557	50.5927923390684	33.685	54.564410575582
Ethiopia	1952	20860941	Africa	34.078	362.1462796	50.5927923390684	34.078	38.7997279750475
Ethiopia	1957	22815614	Africa	36.667	378.9041632	50.5927923390684	34.078	40.9403052180766
Ethiopia	1962	25145372	Africa	40.059	419.4564161	50.5927923390684	34.078	43.0992460329128
Ethiopia	1967	27860297	Africa	42.115	516.1186438	50.5927923390684	34.078	45.1772077062905
Ethiopia	1972	30770372	Africa	43.515	566.2439442	50.5927923390684	34.078	47.2122936521501
Ethiopia	1977	34617799	Africa	44.51	556.8083834	50.5927923390684	34.078	49.2088278705277
Ethiopia	1982	38111756	Africa	44.916	577.8607471	50.5927923390684	34.078	51.017435577706
Ethiopia	1987	42999530	Africa	46.684	573.7413142	50.5927923390684	34.078	52.8247902051933
Ethiopia	1992	52088559	Africa	48.091	421.3534653	50.5927923390684	34.078	53.3729182736405
Ethiopia	1997	59861301	Africa	49.402	515.8894013	50.5927923390684	34.078	53.2832668246949
Ethiopia	2002	67946797	Africa	50.725	530.0535319	50.5927923390684	34.078	53.3031425757613
Ethiopia	2007	76511887	Africa	52.947	690.8055759	50.5927923390684	34.078	54.564410575582
Equatorial Guinea	1952	216964	Africa	34.482	375.6431231	50.5927923390684	34.482	38.7997279750475
Equatorial Guinea	1957	232922	Africa	35.983	426.0964081	50.5927923390684	34.482	40.9403052180766
Equatorial Guinea	1962	249220	Africa	37.485	582.8419714	50.5927923390684	34.482	43.0992460329128
Equatorial Guinea	1967	259864	Africa	38.987	915.5960025	50.5927923390684	34.482	45.1772077062905
Equatorial Guinea	1972	277603	Africa	40.516	672.4122571	50.5927923390684	34.482	47.2122936521501
Equatorial Guinea	1977	192675	Africa	42.024	958.5668124	50.5927923390684	34.482	49.2088278705277
Equatorial Guinea	1982	285483	Africa	43.662	927.8253427	50.5927923390684	34.482	51.017435577706
Equatorial Guinea	1987	341244	Africa	45.664	966.8968149	50.5927923390684	34.482	52.8247902051933
Equatorial Guinea	1992	387838	Africa	47.545	1132.055034	50.5927923390684	34.482	53.3729182736405
Equatorial Guinea	1997	439971	Africa	48.245	2814.480755	50.5927923390684	34.482	53.2832668246949
Equatorial Guinea	2002	495627	Africa	49.348	7703.4959	50.5927923390684	34.482	53.3031425757613
Equatorial Guinea	2007	551201	Africa	51.579	12154.08975	50.5927923390684	34.482	54.564410575582
Djibouti	1952	63149	Africa	34.812	2669.529475	50.5927923390684	34.812	38.7997279750475
Djibouti	1957	71851	Africa	37.328	2864.969076	50.5927923390684	34.812	40.9403052180766
Djibouti	1962	89898	Africa	39.693	3020.989263	50.5927923390684	34.812	43.0992460329128
Djibouti	1967	127617	Africa	42.074	3020.050513	50.5927923390684	34.812	45.1772077062905
Djibouti	1972	178848	Africa	44.366	3694.212352	50.5927923390684	34.812	47.2122936521501
Djibouti	1977	228694	Africa	46.519	3081.761022	50.5927923390684	34.812	49.2088278705277
Djibouti	1982	305991	Africa	48.812	2879.468067	50.5927923390684	34.812	51.017435577706
Djibouti	1987	311025	Africa	50.04	2880.102568	50.5927923390684	34.812	52.8247902051933
Djibouti	1992	384156	Africa	51.604	2377.156192	50.5927923390684	34.812	53.3729182736405
Djibouti	1997	417908	Africa	53.157	1895.016984	50.5927923390684	34.812	53.2832668246949
Djibouti	2002	447416	Africa	53.373	1908.260867	50.5927923390684	34.812	53.3031425757613
Djibouti	2007	496374	Africa	54.791	2082.481567	50.5927923390684	34.812	54.564410575582
Central African Republic	1952	1291695	Africa	35.463	1071.310713	50.5927923390684	35.463	38.7997279750475
Central African Republic	1957	1392284	Africa	37.464	1190.844328	50.5927923390684	35.463	40.9403052180766
Central African Republic	1962	1523478	Africa	39.475	1193.068753	50.5927923390684	35.463	43.0992460329128
Central African Republic	1967	1733638	Africa	41.478	1136.056615	50.5927923390684	35.463	45.1772077062905
Central African Republic	1972	1927260	Africa	43.457	1070.013275	50.5927923390684	35.463	47.2122936521501
Central African Republic	1977	2167533	Africa	46.775	1109.374338	50.5927923390684	35.463	49.2088278705277
Central African Republic	1982	2476971	Africa	48.295	956.7529907	50.5927923390684	35.463	51.017435577706
Central African Republic	1987	2840009	Africa	50.485	844.8763504	50.5927923390684	35.463	52.8247902051933
Central African Republic	1992	3265124	Africa	49.396	747.9055252	50.5927923390684	35.463	53.3729182736405
Central African Republic	1997	3696513	Africa	46.066	740.5063317	50.5927923390684	35.463	53.2832668246949
Central African Republic	2002	4048013	Africa	43.308	738.6906068	50.5927923390684	35.463	53.3031425757613
Central African Republic	2007	4369038	Africa	44.741	706.016537	50.5927923390684	35.463	54.564410575582
Eritrea	1952	1438760	Africa	35.928	328.9405571	50.5927923390684	35.928	38.7997279750475
Eritrea	1957	1542611	Africa	38.047	344.1618859	50.5927923390684	35.928	40.9403052180766
Eritrea	1962	1666618	Africa	40.158	380.9958433	50.5927923390684	35.928	43.0992460329128
Eritrea	1967	1820319	Africa	42.189	468.7949699	50.5927923390684	35.928	45.1772077062905
Eritrea	1972	2260187	Africa	44.142	514.3242082	50.5927923390684	35.928	47.2122936521501
Eritrea	1977	2512642	Africa	44.535	505.7538077	50.5927923390684	35.928	49.2088278705277
Eritrea	1982	2637297	Africa	43.89	524.8758493	50.5927923390684	35.928	51.017435577706
Eritrea	1987	2915959	Africa	46.453	521.1341333	50.5927923390684	35.928	52.8247902051933
Eritrea	1992	3668440	Africa	49.991	582.8585102	50.5927923390684	35.928	53.3729182736405
Eritrea	1997	4058319	Africa	53.378	913.47079	50.5927923390684	35.928	53.2832668246949
Eritrea	2002	4414865	Africa	55.24	765.3500015	50.5927923390684	35.928	53.3031425757613
Eritrea	2007	4906585	Africa	58.04	641.3695236	50.5927923390684	35.928	54.564410575582
Malawi	1952	2917802	Africa	36.256	369.1650802	50.5927923390684	36.256	38.7997279750475
Malawi	1957	3221238	Africa	37.207	416.3698064	50.5927923390684	36.256	40.9403052180766
Malawi	1962	3628608	Africa	38.41	427.9010856	50.5927923390684	36.256	43.0992460329128
Malawi	1967	4147252	Africa	39.487	495.5147806	50.5927923390684	36.256	45.1772077062905
Malawi	1972	4730997	Africa	41.766	584.6219709	50.5927923390684	36.256	47.2122936521501
Malawi	1977	5637246	Africa	43.767	663.2236766	50.5927923390684	36.256	49.2088278705277
Malawi	1982	6502825	Africa	45.642	632.8039209	50.5927923390684	36.256	51.017435577706
Malawi	1987	7824747	Africa	47.457	635.5173634	50.5927923390684	36.256	52.8247902051933
Malawi	1992	10014249	Africa	49.42	563.2000145	50.5927923390684	36.256	53.3729182736405
Malawi	1997	10419991	Africa	47.495	692.2758103	50.5927923390684	36.256	53.2832668246949
Malawi	2002	11824495	Africa	45.009	665.4231186	50.5927923390684	36.256	53.3031425757613
Malawi	2007	13327079	Africa	48.303	759.3499101	50.5927923390684	36.256	54.564410575582
Nigeria	1952	33119096	Africa	36.324	1077.281856	50.5927923390684	36.324	38.7997279750475
Nigeria	1957	37173340	Africa	37.802	1100.592563	50.5927923390684	36.324	40.9403052180766
Nigeria	1962	41871351	Africa	39.36	1150.927478	50.5927923390684	36.324	43.0992460329128
Nigeria	1967	47287752	Africa	41.04	1014.514104	50.5927923390684	36.324	45.1772077062905
Nigeria	1972	53740085	Africa	42.821	1698.388838	50.5927923390684	36.324	47.2122936521501
Nigeria	1977	62209173	Africa	44.514	1981.951806	50.5927923390684	36.324	49.2088278705277
Nigeria	1982	73039376	Africa	45.826	1576.97375	50.5927923390684	36.324	51.017435577706
Nigeria	1987	81551520	Africa	46.886	1385.029563	50.5927923390684	36.324	52.8247902051933
Nigeria	1992	93364244	Africa	47.472	1619.848217	50.5927923390684	36.324	53.3729182736405
Nigeria	1997	106207839	Africa	47.464	1624.941275	50.5927923390684	36.324	53.2832668246949
Nigeria	2002	119901274	Africa	46.608	1615.286395	50.5927923390684	36.324	53.3031425757613
Nigeria	2007	135031164	Africa	46.859	2013.977305	50.5927923390684	36.324	54.564410575582
Madagascar	1952	4762912	Africa	36.681	1443.011715	50.5927923390684	36.681	38.7997279750475
Madagascar	1957	5181679	Africa	38.865	1589.20275	50.5927923390684	36.681	40.9403052180766
Madagascar	1962	5703324	Africa	40.848	1643.38711	50.5927923390684	36.681	43.0992460329128
Madagascar	1967	6334556	Africa	42.881	1634.047282	50.5927923390684	36.681	45.1772077062905
Madagascar	1972	7082430	Africa	44.851	1748.562982	50.5927923390684	36.681	47.2122936521501
Madagascar	1977	8007166	Africa	46.881	1544.228586	50.5927923390684	36.681	49.2088278705277
Madagascar	1982	9171477	Africa	48.969	1302.878658	50.5927923390684	36.681	51.017435577706
Madagascar	1987	10568642	Africa	49.35	1155.441948	50.5927923390684	36.681	52.8247902051933
Madagascar	1992	12210395	Africa	52.214	1040.67619	50.5927923390684	36.681	53.3729182736405
Madagascar	1997	14165114	Africa	54.978	986.2958956	50.5927923390684	36.681	53.2832668246949
Madagascar	2002	16473477	Africa	57.286	894.6370822	50.5927923390684	36.681	53.3031425757613
Madagascar	2007	19167654	Africa	59.443	1044.770126	50.5927923390684	36.681	54.564410575582
Gabon	1952	420702	Africa	37.003	4293.476475	50.5927923390684	37.003	38.7997279750475
Gabon	1957	434904	Africa	38.999	4976.198099	50.5927923390684	37.003	40.9403052180766
Gabon	1962	455661	Africa	40.489	6631.459222	50.5927923390684	37.003	43.0992460329128
Gabon	1967	489004	Africa	44.598	8358.761987	50.5927923390684	37.003	45.1772077062905
Gabon	1972	537977	Africa	48.69	11401.94841	50.5927923390684	37.003	47.2122936521501
Gabon	1977	706367	Africa	52.79	21745.57328	50.5927923390684	37.003	49.2088278705277
Gabon	1982	753874	Africa	56.564	15113.36194	50.5927923390684	37.003	51.017435577706
Gabon	1987	880397	Africa	60.19	11864.40844	50.5927923390684	37.003	52.8247902051933
Gabon	1992	985739	Africa	61.366	13522.15752	50.5927923390684	37.003	53.3729182736405
Gabon	1997	1126189	Africa	60.461	14722.84188	50.5927923390684	37.003	53.2832668246949
Gabon	2002	1299304	Africa	56.761	12521.71392	50.5927923390684	37.003	53.3031425757613
Gabon	2007	1454867	Africa	56.735	13206.48452	50.5927923390684	37.003	54.564410575582
Senegal	1952	2755589	Africa	37.278	1450.356983	50.5927923390684	37.278	38.7997279750475
Senegal	1957	3054547	Africa	39.329	1567.653006	50.5927923390684	37.278	40.9403052180766
Senegal	1962	3430243	Africa	41.454	1654.988723	50.5927923390684	37.278	43.0992460329128
Senegal	1967	3965841	Africa	43.563	1612.404632	50.5927923390684	37.278	45.1772077062905
Senegal	1972	4588696	Africa	45.815	1597.712056	50.5927923390684	37.278	47.2122936521501
Senegal	1977	5260855	Africa	48.879	1561.769116	50.5927923390684	37.278	49.2088278705277
Senegal	1982	6147783	Africa	52.379	1518.479984	50.5927923390684	37.278	51.017435577706
Senegal	1987	7171347	Africa	55.769	1441.72072	50.5927923390684	37.278	52.8247902051933
Senegal	1992	8307920	Africa	58.196	1367.899369	50.5927923390684	37.278	53.3729182736405
Senegal	1997	9535314	Africa	60.187	1392.368347	50.5927923390684	37.278	53.2832668246949
Senegal	2002	10870037	Africa	61.6	1519.635262	50.5927923390684	37.278	53.3031425757613
Senegal	2007	12267493	Africa	63.062	1712.472136	50.5927923390684	37.278	54.564410575582
Niger	1952	3379468	Africa	37.444	761.879376	50.5927923390684	37.444	38.7997279750475
Niger	1957	3692184	Africa	38.598	835.5234025	50.5927923390684	37.444	40.9403052180766
Niger	1962	4076008	Africa	39.487	997.7661127	50.5927923390684	37.444	43.0992460329128
Niger	1967	4534062	Africa	40.118	1054.384891	50.5927923390684	37.444	45.1772077062905
Niger	1972	5060262	Africa	40.546	954.2092363	50.5927923390684	37.444	47.2122936521501
Niger	1977	5682086	Africa	41.291	808.8970728	50.5927923390684	37.444	49.2088278705277
Niger	1982	6437188	Africa	42.598	909.7221354	50.5927923390684	37.444	51.017435577706
Niger	1987	7332638	Africa	44.555	668.3000228	50.5927923390684	37.444	52.8247902051933
Niger	1992	8392818	Africa	47.391	581.182725	50.5927923390684	37.444	53.3729182736405
Niger	1997	9666252	Africa	51.313	580.3052092	50.5927923390684	37.444	53.2832668246949
Niger	2002	11140655	Africa	54.496	601.0745012	50.5927923390684	37.444	53.3031425757613
Niger	2007	12894865	Africa	56.867	619.6768924	50.5927923390684	37.444	54.564410575582
Chad	1952	2682462	Africa	38.092	1178.665927	50.5927923390684	38.092	38.7997279750475
Chad	1957	2894855	Africa	39.881	1308.495577	50.5927923390684	38.092	40.9403052180766
Chad	1962	3150417	Africa	41.716	1389.817618	50.5927923390684	38.092	43.0992460329128
Chad	1967	3495967	Africa	43.601	1196.810565	50.5927923390684	38.092	45.1772077062905
Chad	1972	3899068	Africa	45.569	1104.103987	50.5927923390684	38.092	47.2122936521501
Chad	1977	4388260	Africa	47.383	1133.98495	50.5927923390684	38.092	49.2088278705277
Chad	1982	4875118	Africa	49.517	797.9081006	50.5927923390684	38.092	51.017435577706
Chad	1987	5498955	Africa	51.051	952.386129	50.5927923390684	38.092	52.8247902051933
Chad	1992	6429417	Africa	51.724	1058.0643	50.5927923390684	38.092	53.3729182736405
Chad	1997	7562011	Africa	51.573	1004.961353	50.5927923390684	38.092	53.2832668246949
Chad	2002	8835739	Africa	50.525	1156.18186	50.5927923390684	38.092	53.3031425757613
Chad	2007	10238807	Africa	50.651	1704.063724	50.5927923390684	38.092	54.564410575582
Benin	1952	1738315	Africa	38.223	1062.7522	50.5927923390684	38.223	38.7997279750475
Benin	1957	1925173	Africa	40.358	959.6010805	50.5927923390684	38.223	40.9403052180766
Benin	1962	2151895	Africa	42.618	949.4990641	50.5927923390684	38.223	43.0992460329128
Benin	1967	2427334	Africa	44.885	1035.831411	50.5927923390684	38.223	45.1772077062905
Benin	1972	2761407	Africa	47.014	1085.796879	50.5927923390684	38.223	47.2122936521501
Benin	1977	3168267	Africa	49.19	1029.161251	50.5927923390684	38.223	49.2088278705277
Benin	1982	3641603	Africa	50.904	1277.897616	50.5927923390684	38.223	51.017435577706
Benin	1987	4243788	Africa	52.337	1225.85601	50.5927923390684	38.223	52.8247902051933
Benin	1992	4981671	Africa	53.919	1191.207681	50.5927923390684	38.223	53.3729182736405
Benin	1997	6066080	Africa	54.777	1232.975292	50.5927923390684	38.223	53.2832668246949
Benin	2002	7026113	Africa	54.406	1372.877931	50.5927923390684	38.223	53.3031425757613
Benin	2007	8078314	Africa	56.728	1441.284873	50.5927923390684	38.223	54.564410575582
Liberia	1952	863308	Africa	38.48	575.5729961	50.5927923390684	38.48	38.7997279750475
Liberia	1957	975950	Africa	39.486	620.9699901	50.5927923390684	38.48	40.9403052180766
Liberia	1962	1112796	Africa	40.502	634.1951625	50.5927923390684	38.48	43.0992460329128
Liberia	1967	1279406	Africa	41.536	713.6036483	50.5927923390684	38.48	45.1772077062905
Liberia	1972	1482628	Africa	42.614	803.0054535	50.5927923390684	38.48	47.2122936521501
Liberia	1977	1703617	Africa	43.764	640.3224383	50.5927923390684	38.48	49.2088278705277
Liberia	1982	1956875	Africa	44.852	572.1995694	50.5927923390684	38.48	51.017435577706
Liberia	1987	2269414	Africa	46.027	506.1138573	50.5927923390684	38.48	52.8247902051933
Liberia	1992	1912974	Africa	40.802	636.6229191	50.5927923390684	38.48	53.3729182736405
Liberia	1997	2200725	Africa	42.221	609.1739508	50.5927923390684	38.48	53.2832668246949
Liberia	2002	2814651	Africa	43.753	531.4823679	50.5927923390684	38.48	53.3031425757613
Liberia	2007	3193942	Africa	45.678	414.5073415	50.5927923390684	38.48	54.564410575582
Cameroon	1952	5009067	Africa	38.523	1172.667655	50.5927923390684	38.523	38.7997279750475
Cameroon	1957	5359923	Africa	40.428	1313.048099	50.5927923390684	38.523	40.9403052180766
Cameroon	1962	5793633	Africa	42.643	1399.607441	50.5927923390684	38.523	43.0992460329128
Cameroon	1967	6335506	Africa	44.799	1508.453148	50.5927923390684	38.523	45.1772077062905
Cameroon	1972	7021028	Africa	47.049	1684.146528	50.5927923390684	38.523	47.2122936521501
Cameroon	1977	7959865	Africa	49.355	1783.432873	50.5927923390684	38.523	49.2088278705277
Cameroon	1982	9250831	Africa	52.961	2367.983282	50.5927923390684	38.523	51.017435577706
Cameroon	1987	10780667	Africa	54.985	2602.664206	50.5927923390684	38.523	52.8247902051933
Cameroon	1992	12467171	Africa	54.314	1793.163278	50.5927923390684	38.523	53.3729182736405
Cameroon	1997	14195809	Africa	52.199	1694.337469	50.5927923390684	38.523	53.2832668246949
Cameroon	2002	15929988	Africa	49.856	1934.011449	50.5927923390684	38.523	53.3031425757613
